SampleID	SRA	Plant	Date	Enriched	coverage	breadth
HTP_9_15_2020	SRR14530735	HTP	2020-09-15	enriched	30.2707420660134	0.821088185131927
HTP_9_08_2020	SRR14530746	HTP	2020-09-08	enriched	8.99685650269204	0.240979165969969
HTP_9_01_2020	SRR14530757	HTP	2020-09-01	enriched	11.0703273919005	0.238705146640805
HTP_9_15_2020_INF_unenriched	SRR14530762	HTP	2020-09-15	unenriched	0.0148480085610139	0.0148480085610139
HTP_9_01_2020_INF_unenriched	SRR14530764	HTP	2020-09-01	unenriched	0.0031434973079624	0.0031434973079624
HTP_8_25_2020_INF_unenriched	SRR14530765	HTP	2020-08-25	unenriched	0.0043139484332675	0.0043139484332675
HTP_8_11_2020_INF_unenriched	SRR14530767	HTP	2020-08-11	unenriched	0.0023743437113333	0.0023743437113333
HTP_8_25_2020	SRR14530768	HTP	2020-08-25	enriched	10.2641875397117	0.272715112196101
HTP_10_02_2020_INF_unenriched	SRR14530772	HTP	2020-10-02	unenriched	0.0022740193291642	0.0022740193291642
HTP_8_18_2020	SRR14530779	HTP	2020-08-18	enriched	4.67889509413771	0.24977427014012
HTP_8_11_2020	SRR14530790	HTP	2020-08-11	enriched	3.80807945691068	0.291877069190382
PL_9_10_2020	SRR14530792	PL	2020-09-10	enriched	0.0092632846202722	0.0046818045012206
HTP_10_27_2020	SRR14530801	HTP	2020-10-27	enriched	3.20533056883925	0.196334815904759
HTP_10_20_2020	SRR14530812	HTP	2020-10-20	enriched	0.596662542219844	0.0803932715781025
HTP_10_13_2020	SRR14530819	HTP	2020-10-13	enriched	1.13259539176671	0.152058321907501
HTP_10_02_2020	SRR14530820	HTP	2020-10-02	enriched	3.61248035314182	0.387486205397452
PL_12_28_2020	SRR14530824	PL	2020-12-28	enriched	1.32351269103434	0.0729692672975955
PL_12_22_2020	SRR14530825	PL	2020-12-22	enriched	3.04287195264689	0.213523726716383
PL_12_14_2020	SRR14530826	PL	2020-12-14	enriched	1.88412533859479	0.124034377821623
PL_11_5_2020	SRR14530827	PL	2020-11-05	enriched	0.0022740193291642	0.0022740193291642
PL_11_30_2020	SRR14530829	PL	2020-11-30	enriched	0.307527672808748	0.0286927733003377
PL_11_29_2020	SRR14530830	PL	2020-11-29	enriched	2.10326723071264	0.0728355014547035
PL_01_04_2021	SRR14530831	PL	2021-01-04	enriched	2.63809651205565	0.176905327224693
PL_01_03_2021	SRR14530832	PL	2021-01-03	enriched	1.5077751396181	0.118081797812928
HTP_9_29_2020	SRR14530842	HTP	2020-09-29	enriched	0.244022338895763	0.125840216700665
HTP_9_22_2020	SRR14530843	HTP	2020-09-22	enriched	0.668260709627796	0.32869611744641
HTP_12_29_2020	SRR14530844	HTP	2020-12-29	enriched	177.578737919272	0.99799351235662
HTP_12_22_2020	SRR14530845	HTP	2020-12-22	enriched	77.2188409189713	0.974183192321841
HTP_12_04_2020	SRR14530846	HTP	2020-12-04	enriched	8.29502056649834	0.515165702437883
HTP_11_3_2020	SRR14530847	HTP	2020-11-03	enriched	8.77607597899876	0.691602849212454
HTP_11_24_2020	SRR14530848	HTP	2020-11-24	enriched	16.5897736013109	0.75089455907434
HTP_01_03_2021	SRR14530849	HTP	2021-01-03	enriched	26.7191251713875	0.930675851921212
PL_12_28_2020_INF_unenriched	SRR14530857	PL	2020-12-28	unenriched	0.0021736949469952	0.0021736949469952
PL_12_22_2020_INF_unenriched	SRR14530858	PL	2020-12-22	unenriched	0.0027421997792863	0.0027421997792863
PL_01_04_2021_INF_unenriched	SRR14530864	PL	2021-01-04	unenriched	0.0036116777580844	0.0036116777580844
PL_01_03_2021_INF_unenriched	SRR14530865	PL	2021-01-03	unenriched	0.0033107046115774	0.0033107046115774
HTP_9_22_2020_INF_unenriched	SRR14530881	HTP	2020-09-22	unenriched	0.0056850483229107	0.0056850483229107
HTP_12_29_2020_INF_unenriched	SRR14530882	HTP	2020-12-29	unenriched	0.300939705046316	0.243855131592148
HTP_12_22_2020_INF_unenriched	SRR14530884	HTP	2020-12-22	unenriched	0.136775574357088	0.129017155469351
HTP_12_15_2020_INF_unenriched	SRR14530885	HTP	2020-12-15	unenriched	0.384409591010935	0.301274119653546
HTP_12_04_2020_INF_unenriched	SRR14530886	HTP	2020-12-04	unenriched	0.0171889108116242	0.0120723673210045
HTP_12_01_2020_INF_unenriched	SRR14530887	HTP	2020-12-01	unenriched	0.0749423134802528	0.0734708892084406
HTP_11_3_2020_INF_unenriched	SRR14530888	HTP	2020-11-03	unenriched	0.0215363007056148	0.0215363007056148
HTP_11_24_2020_INF_unenriched	SRR14530889	HTP	2020-11-24	unenriched	0.0324047754405912	0.0324047754405912
HTP_11_17_2020_INF_unenriched	SRR14530890	HTP	2020-11-17	unenriched	0.0359495702772296	0.0359495702772296
HTP_01_03_2021_INF_unenriched	SRR14530891	HTP	2021-01-03	unenriched	0.105942547570478	0.0979500384576798
